category,title,total_used,used_grades
GCSE,Science - Double Award,578,"[""A*"", ""B"", ""A"", ""6"", ""7"", ""5"", ""8"", ""4"", ""C"", ""3"", ""2"", ""F"", ""D"", ""9""]"
GCSE,Religious Studies Short Course,540,"[""5"", ""6"", ""C"", ""A"", ""3"", ""A*"", ""B"", ""7"", ""4"", ""8"", ""9"", ""D"", ""G"", ""1"", ""E"", ""2""]"
GCSE,Dance,527,"[""5"", ""6"", ""7"", ""A"", ""C"", ""8"", ""B"", ""3"", ""9"", ""4"", ""2"", ""A*"", ""D"", ""1"", ""E""]"
GCSE,Latin,480,"[""8"", ""6"", ""B"", ""9"", ""A*"", ""7"", ""5"", ""3"", ""4"", ""A"", ""1"", ""2"", ""D""]"
GCSE,Science - Core,461,"[""B"", ""8"", ""7"", ""5"", ""6"", ""4"", ""9"", ""C"", ""3"", ""A"", ""D"", ""A*"", ""E"", ""2""]"
GCSE,Applied Information and Communication Technology ,433,"[""C"", ""5"", ""8"", ""6"", ""A*"", ""A"", ""B"", ""4"", ""7"", ""3"", ""1"", ""9"", ""E"", ""D"", ""2"", ""G""]"
GCSE,Ancient History,409,"[""7"", ""6"", ""A*"", ""B"", ""8"", ""4"", ""5"", ""2"", ""A"", ""C"", ""E"", ""3"", ""1"", ""D"", ""9"", ""U""]"
GCSE,Philosophy,403,"[""B"", ""6"", ""9"", ""8"", ""4"", ""5"", ""7"", ""3"", ""A*"", ""1"", ""2""]"
GCSE,Chinese,377,"[""B"", ""A"", ""C"", ""6"", ""A*"", ""D"", ""E"", ""4"", ""7"", ""5"", ""9"", ""8"", ""3"", ""2"", ""1""]"
GCSE,Italian,321,"[""A*"", ""6"", ""B"", ""A"", ""C"", ""D"", ""9"", ""7"", ""5"", ""8"", ""4"", ""2"", ""3""]"
GCSE,Applied Physical Education,301,"[""6"", ""9"", ""7"", ""B"", ""3"", ""5"", ""8"", ""4"", ""A"", ""C"", ""A*"", ""D"", ""E""]"
BTEC - National Vocational Qualification,BTEC Health and Social Care (QCF),294,"[""Distinction"", ""Distinction*"", ""Merit"", ""Pass""]"
GCSE,Media Studies ,293,"[""B"", ""C"", ""6"", ""9"", ""7"", ""4"", ""5"", ""A"", ""D"", ""A*"", ""8"", ""3"", ""U"", ""2"", ""1"", ""E""]"
GCSE,Engineering ,279,"[""A"", ""B"", ""A*"", ""6"", ""8"", ""7"", ""D"", ""4"", ""5"", ""3"", ""2"", ""C"", ""9"", ""E""]"
